Sentence,jfr,jannik,MaxK,student1,student2,arjen
"If that funding were not available or insufficient in future years, base funds at the locations and/or discretionary funds from the Area and Headquarters funds would support the activity but the timelines would be adjusted.",1,1,,,,
"To elicit requirements, the user class members will be asked via conferencing, interviews, and email, to provide a detailed description of the user actions and system responses that will take place during execution of the use case under normal, expected conditions.",,1,,,,
The summation of responses will lead to an accurate and complete inventory of user requirements.,,1,,,,
STEWARDS will provide web-based geographic information tools to allow site-specific data to be viewed within their spatial context.,1,,,,,
"If this occurs, the CEAP database team will evaluate conversion of metadata.",,1,1,,,
"To make data electronically available any place and any time through a web server-client service, the web service will be platform independent as much as possible.",,1,0,,,
"Where there is an exception, the software/hardware requirement should be specified for a particular application.",,1,1,,,
"Users whose computing environment precludes downloading the data via the internet will have the opportunity to acquire data, reports, model results and other STEWARDS information via alternative media.",,1,,,,
Further requirements gathering is needed to get real-world estimates of such data storage needs.,,1,,,,
HR-2.1: Load Balancing - Application Servers and Database servers must be load balanced at the application level to ensure maximum stability and availability.,,1,1,,,
"The system requires a “back-end” private network environment in order to ensure that end-user operations (on the front-end) are not impeded by database backups, index propagations, or other large back-end data transfers.",,1,1,,,
"The system will use, where appropriate, the standard hardware and data communications resources provided by the ARS OCIO at the ARS George Washington Carver Center in Beltsville, MD.",,1,,,,
"SR-2: HTTP and GIS Server Applications – As the Web will be the primary delivery protocol for the application, HTTP and related GIS server applications will be required to support system functionality.",,1,,,,
"The system will use, where appropriate, the standard software resources provided by the ARS OCIO.",,1,,,,
Data will be subject to quality assurance prior to either initial or recurring uploading to STEWARDS.,,1,,,,
Initial population of STEWARDS will require that transition filters be developed jointly between the STEWARDS team and the individual watersheds.,,1,,,,
Quality assurance checking will be carried out at two different levels – local site level and central site level.,,1,,,,
Quality assurance checking at the local sites may be performed before or during the standard exchange file conversion phase.,,1,1,,,
"A general quality assurance checking, not as specific as at the local sites, will be carried out during the data uploading stage.",,1,1,,,
Watershed data to be used in modeling that does not conform to model requirements will be processed in STEWARDS for inclusion in the STEWARDS databases.,,0,0,,,
"As part of the initial population of the database, time-series data (measurement data, annual land use information, weather/climate data) that has been collected by local watershed staff will be processed through local and CEAP QA/QC procedures and uploaded to the STEWARDS database by watershed staff per obligations to CEAP Objective 1.",,1,,,,
"In this manner, all the data files from the local sites will have consistent formats when they are stored in the central site.",,1,1,,,
"The central database will allow users to access the data of individual watersheds, sub-watersheds on a station-by-station basis, or a collection of stations if the entire dataset is desired.",,1,1,,,
"The user interface will be simple and consistent, using terminology commonly understood by the intended users of the system.",,1,,,,
"The system will have a simple interface, consistent with industry standard interfaces, to eliminate the need for user training of infrequent users.",,1,1,,,
"For additional details see Appendix E. User testing will be used to ensure the user interface is clear (simple, commonly understood vocabulary, intuitive to use without training), complete (users can perform all functions from the interface), and consistent (buttons and wording are the same throughout the system).",,1,1,,,
"This system will include a warning message when a low transmission speed is detected, and a non-graphical interface option will be available.",,1,1,,,
"If the user requests a large image with a short response time, it is acceptable for the ARS data system to advise the user that the target response time cannot be met.",,1,1,,,
"In that case, the person would be referred to an alternate method of getting the data.",,1,1,,,
"Given that these data will also remain on the watershed site system, rather than expend resources to prevent this loss, such failures will be monitored and the uploading process will be repeated.",,1,,,,
Authentication addresses security requirements to ensure those using system are who they say they are.,,1,1,,,
This is of greatest concern when data are being changed or updated.,,1,1,,,
STEWARDS will use the user classes described in section 2.3 above to define boundaries of information sharing to ensure confidentiality as appropriate.,,1,1,,,
Any data that should be viewed by a restricted audience must be protected with appropriate security features.,,1,0,,,
"Therefore, extensive data validation and review will be performed both before data are uploaded to the system and as part of the upload process.",,1,1,,,
"The system will need policy and procedures protecting the data from intentional or unintentional modifications, and to ensure accurate data are made available.",,,1,,,
Functional requirements are also called behavioral requirements because they address what the system does.,,1,1,,,
"Portability - (1) A term used to describe an object that can be easily moved, such as a portable computer; (2) When referring to computer software, portability refers to how easy a software program can be moved between computer Operating Systems.",,1,,,,
These enhancements have been included to improve the capability of the program and to automate many of the input data preparation steps needed for use with large watershed systems.,,,0,,,
Completion/Confirmation messages should be displayed when the application processes the data successfully.,,1,1,,,
"Through a user case survey and a logical analysis of user’s expectations and system functionalities, the system components for STEWARDS are identified (Fig.",,1,,,,
System design provides a detailed description for each identified component and produces a physical data system design (with documentation) that allow the system developers to construct each component (layer) accordingly.,,,1,,,
"At the end of the system design phase, hardware, software tools and skill requirements, and other resources will be identified and a system developer team/plan will be drawn.",,,1,,,
"After that, the construction phase will begins (Task flow of can be seen in Fig.",,1,1,,,
The total number of system components will depend on the level of detail.,,1,,,,
"During the logical system design phase, a logical data system (all system components and their relationships) will be constructed and validated.",,1,1,,,
"Therefore, translating empirical data is the only need.",,1,,,,
"The mapping method allows a great flexibility in terms of data heterogeneity, table size, data type, etc.",,1,1,,,
"The SRD is a living document, and it is intended that the document undergoes the necessary pressures of review and subsequent revision, during the lifetime of Phase 1.",,1,1,,,
"Where change takes place in the SRD, those deliverables which depend on the SRD must be appropriately updated.",,1,1,,,
"Where the word system is used, it will similarly refer to the SLCCI operational system, unless it is clear from the context that another system is being referred to.",,1,1,,,
"To this end, the System Requirements document (SRD) reasons for the apt adoption of certain requirements from an existing operational system, towards a measured realisation of an SLCCI system.",,1,1,,,
"The scope of the operational system from which the SLCCI system will be founded is therefore mature and well defined, given its proven validation over time in an operational context.",,1,,,,
"The CCI Statement of Work does not directly preclude inclusion of any type of environment, but does encourage reuse of existing similar operational systems, as practiced in Chapter 6 (Requirements Elicitation), which may therefore indirectly constrain the environment(s) which may be considered to those adopted by the existing similar system.",,1,1,,,
"To this end, acknowledgment and consideration is taken in the System Requirements Document (SRD) with the aim of exploring commonality between the SLCCI and other CCI projects.",,1,1,,,
"The lifecycle of the System Requirements Document (SRD) starts via a Preliminary System Analysis Document (PSAD) identifying the candidate system for reuse for SLCCI, namely DUACS.",,,0,,,
"A set of system requirements is elicited and refined based on a judicious mapping with DUACS, prior to other inputs being considered.",,1,1,,,
"As depicted by Figure 6-2, the steps undertaken during Requirements Elicitation start with the extraction of business goals from the Statement of Work, the axiomatic needs for the SLCCI project towards an operational system (Section 6.2).",,1,1,,,
"The pertinent business goal regarding system reuse is pursued through the identification and adoption of an apt system for re-use (Section 6.3); a line of argument is posited towards adoption of DUACS based on significant similarities, though also identifying differences for accountability of argument.",,,1,,,
The ESA Climate Change Initiative Statement of Work [RD 7] represents the source from which the business goals of the system are herein elicited.,,,0,,,
The CCI Phase I SoW [RD 7] is here analysed to extract a series of business goals pertinent to the operational system.,,,1,,,
"The operational system is the operationalisation of the Task 3 prototype production system, that is a production system and the engineering in of capability onto the production system to allow it to be used in the outside world, following its construction by CCI Phase II.",,,1,,,
"We are not directly concerned, therefore, with the activities leading up to the prototype production system, nor are we directly concerned with the activities at a meta-level associated with the CCI programme organisation, such as the listing of other CCI ECV programmes.",,1,,,,
"To that end, we have analyised the whole Phase I SoW, inferring business goals, which we illustrate with supporting evidence.",,1,1,,,
"Therefore, a business goal cannot be necessarily inferred by observation of the associated supported illustrativetext alone, but rather by absorption and analysis of the whole document.",,1,1,,,
"With SLCCI-SRB-BUSINESS- GOAL_#1, for example, we propose that since the scientific community represent the end users of the operational system, their expectations with regards to the performance of the operational system must be taken into account.",,,1,,,
We recognise the matter of cost effectiveness across the ECVs as imperative to achieving cost effectiveness.,,1,,,,
"Supporting evidence – “address the need for establishing data service systems that ensure ongoing accessibility to the Climate Data Sets into the future as well as the required capacity to update these data sets periodically by addition of new data or by reprocessing complete records when calibration improves or ECV generation methods evolve” [RD 7, pg 27].",,,1,,,
"Therefore, the axiomatic needs of the SLCCI system are made concrete directly in the System Requirements Baseline, so mitigating risk of loss of vision of the system during development.",,1,0,,,
"To accommodate this endeavour in an apt manner during the requirements stage, it is envisaged that the SLCCI system will hook in to higher level Central Information System (CIS) [RD 11], available at the CCI level across all ECV projects (including, in this content, SLCCI), with each ECV implementing its own INSPIRE compliant interoperability with the Central Information System.",,1,,,,
Metadata will be associated with SLCCI in order to describe all output sea level products.,,1,,,,
"To this end, it is pertinent to eliminate or manage any constraints to the SLCCI inherited from DUACS.",,1,1,,,
"However, use of DUACS towards reuse has been proven in the context of MyOcean, a large scale multi- variable processing and dissemination system, so proving that DUACS is capable of serving for reuse.",,1,,,,
"To this end, the SRD declares the differences between the original DUACS system and the target SLCCI system (Section 6.3) to legitimise and reason the mapping.",,1,0,,,
These differences are observed during Requirements Analysis (which takes as its input the raw requirements mapping reasoned during Requirements Elicitation) in order to reason all changes necessary for those requirements which are derived based on the mapping from the original system.,,,1,,,
"The elicitation of business goals from the CCI Statement of Work not only highlight the welcoming of system reuse, directly (as SoW explicit content on system reuse) and indirectly (via SoW content on cost efficiencies) , but also the adoption of latest technologies; to this end, the adoption of an existing, mature, system needs to legitimise the balance undertaken of reuse of existing technology with adoption of, or integration with, more novel technologies towards provision of a system of apt quality and timeliness.",,1,1,,,
"Such constraints are important during SLCCI design, in meeting apt and reasoned reuse of the existing DUACS system.",,1,,,,
"During the design stage, the output of which is communicated in the form of the System Design Document (SDD), this pertinent matter will be attended to at the very earliest opportunity.",,1,1,,,
"While interacting with the system, he is to be considered as an actor and uses specific system capabilities.",,1,1,,,
While performing additional manual or procedural tasks and eventually storing his results in the System.,,1,,,,
"Note that every contributor type is involved in each of NRT, DT and REP production ; each type has a higher frequency of activity involved in the NRT production only because NRT productions are daily compared to other productions which are of a lower frequency (REP,DT).",,1,,,,
"To this end, a Central Information System (CIS) is adopted for SLCCI.",,1,,,,
The SLCCI users relate to climatology research and so do not require degraded-quality NRT data products.,,1,,,,
"Therefore, for example, there are two direct sub-types of SLCCI User, namely an SLCCI Contributor and an SLCCI Product User; in other words, an SLCCI Contributor is an SLCCI User and an SLCCI Product User is an SLCCI User.",,1,,,,
Indeed all user types in the diagram are SLCCI Users since the SLCCI User type is the ultimate base type of all user types.,,1,1,,,
"To this end, the figure below offers an illustration of the SLCCI equivalent Use Case packages adopted.",,1,,,,
"The following four sections will argue for the apt mapping of use cases and their associated system requirements to the SLCCI system, with each section representing one of the four use case packages, thus covering the entire use case package spectrum.",,1,,,,
"Given the evidence and argument so far composed, we may judiciously define a mapping of use cases and subsequently a mapping of the system requirements contained therein, from DUACS to SLCCI.",,1,,,,
We therefore envisage the same use case to macro functionality parallel for the SLCCI as is the case with DUACS.,,1,1,,,
For convenience we explicitly map between SLCCI and DUACS macro functionalities rather than between their associated use cases.,,1,,,,
"Given the evidence provided thus far, we argue that the DUACS production Use Cases, and therefore their associated macro functionalities, map to SLCCI equivalents.",,1,0,,,
"Again, the SLCCI equivalents, described in the Requirements Analysis, will illustrate where changes are likened or necessary in order to accommodate the mapping, for instance the adoption of ftp and OPENDAP.",,,1,,,
"However, where the mapping does not hold is that no higher level service desk exists for SLCCI, therefore the SLCCI service desk (i.e that at the level of the SLCCI rather than a higher level system) is referred to instead; it is d however that there is the potential to glue SLCCI to a higher level pan-ECV system, given that DUACS, in the frame of MyOcean SL TAC equivalent, already resides in a pan-variable infrastructure.",,1,1,,,
"As earlier indicated, it is proposed that the SLCCI system have a Central Information System (CIS) equivalent to the MyOcean Information System (MIS) component, and therefore the mapping to an SLCCI equivalent during Requirements Analysis (Chapter 7) will accomodate the SLCCI equivalent accordingly.",,1,1,,,
"Again, an Information System is not proposed for the SLCCI system, as it is not currently warranted.",,1,,,,
However this could be a valuable solution when relying on (at least partly) existing systems.,,1,1,,,
These matters are considered further during Requirements Analysis (Chapter 7) where the raw systems requirements mapping is exercised to produce and refine SLCCI equivalents.,,1,,,,
"Each update (creation/deletion of a Product Line/Product specification, authorization of a Product) of the Products Database by the SL TAC Product Manager has to be reported to the Top-Level Product Manager for a validation (particularly regarding the state of a Product: operational or not).",,,0,,,
"Certain DUACS requirements, as realised for MyOcean SL TAC, must be refined in order to reach their SLCCI equivalents, for instance the defining of raw measurements, and depiction of the CRM tool to be used.",,1,1,,,
"This dashboard allows Service Desk members (Support Operators, Service Managers), at all levels, to know the ""health"" of the Top Level Services at a glance.",,,1,,,
"As earlier indicated, ITIL Processes are irrelevant to SLCCI and therefore fall out of scope of the SLCCI system requirements.",,1,1,,,
"As earlier indicated, the SLCCI equivalent system will have a Central Information System (CIS), residing at the CCI level, equivalent to the MIS component, and therefore SLCCI requirements will reflect this equivalency.",,1,1,,,
"Deferment of certain DUACS characteristics to a Service Management Plan, necessitates examination of the Service Management Plan during Requirements Analysis.",,,0,,,
"Therefore, the three types of monitoring proposed in the DUACS system are similarly adopted for the SLCCI system.",,1,1,,,
"As its input, therefore, the Requirements Analysis accepts a reasoned, though unrefined, system requirements between DUACS and SLCCI, based on argued equivalences of user hierarchy, scope, use case packages, use cases, and their associated system requirements during the Requirements Elicitation.",,1,,,,
"Where the mapping is not possible to an SLCCI equivalent, this is reasoned.",,1,1,,,
"Similarly, where a mapping needs to be such that a pertinent difference must hold, then an explicit reference is made to the difference, in order to allow the mapping; the set of differences between the DUACS system, as realised for MyOcean SL TAC, and SLCCI have been given.",,1,1,,,
"To help maintain operational integrity to the system, transparency to the performance gathering aspects of the system should also warrant consideration, such as in the gathering of operational statistics.",,1,0,,,
"Use of such standards differs to those to be adopted within the System Specification Document, where candidate standards are identified and a chosen standard reasoned towards helping satisfy system requirements.",,1,,,,
We do so by expressing the accommodation of these desired user requirements.,,,0,,,
"Our analysis of the PSD [RD 6] allows us to recognise the production chain product types, to be outputted by the operational system.",,,1,,,
Recognition of types of auxiliary data input by analysing ([RD2] §5).,,,1,,,
"We draw on ECSS-Q-ST-80C (Space Product Assurance) towards establishing reasonable expectations for software quality which should be satisfied by the future implementers during Phase II; these are not only beneficial in order for the Phase I SSD to be satisfied, but of benefit to Phase II implementers needing to formally attain and verify good practice.",,,0,,,
We analyse the PSAD [RD 3] to support the construction of the System Requirements Baseline.,,1,,,,
"This information, together with the DARD analysis, allows the introduction of system requirements pertaining to the manner in which each of the expected operational system inputs should be acquired ([RD3] §3.3).",,1,,1,,
"Interpreting the PSAD together with the DARD, allows the formation of system requirements pertaining to the data and database, such as the size of particular foreseen databases.",,1,,1,,
"Given the need to design an operational system needing to be capable of accommodating future mission data, points to consideration of scalability of the system ([RD3] §3.3, §3.4, §3.5).",,,0,1,,
"To that end, we have produced a Technical to the SEWG relating to pan-ECV collaboration in the context of such a mechanism [RD 11], and will continue to endeavour towards exploration of a reasonable solution for attaining cost-effectiveness across the ECVs.",,1,,1,,
"Applying one dimension to another allows a complete, exhaustive, view of ECSS standard requirements involvement across the SLCCI macro functionalities.",,1,,1,,
We offer such higher level system requirements across the production chain as a convenient vehicle to describing the expectation of the associated macro functionality stage.,,,0,,,
Such high level production chain system requirements are ded are satisfiable if and only if their constituent system requirements are entirely satisfied.,,1,1,,,
If the application detects that it lacks at least one item of required before product generation can commence.,,,1,1,,
"The specific temporal threshold for an automatic quality check is calculated as a multiple of the amount of input data and a calculation weighting; for instance, if the calculation weighting is 0.1, and the amount of data flow is flow.",,1,,1,,
SLCCI-SRB-REQ_1-420 Data backup operation shall be automated where possible.,,1,,1,,
"These system requirements sit at a meta-level to others as they provide stewardship for the development of the system via the maintaining of the ESA vision of the operational system, and also include system requirements referring to approach of design and implementation which are appropriate at this early stage.",,,,1,,
SLCCI-SRB-REQ_15-090 Development of the system shall be undertaken with apt missions to be integrated during the project.,,,,1,,
The system required ID is coloured red if the associated system requirement refers to a value yet to be determined; these cases are also listed under the “Lists of TBD”.,,,1,1,,
"In nominal case, input and auxiliary data are present and the system acquire them.",,,1,,,
The acquisition process is forced by human intervention.,,,1,1,,
The products of degraded quality are not reprocessed but new products will use the new Level 2 data once they have been acquired.,,1,,1,,
The input data are supposed to be acquired on a given date.,,,0,,,
The system can wait for the acquisition until a defined delay.,,,,1,,
"When the delay is expired, the support operator is automatically warned that the data flow is too late.",,,1,1,,
"It may also be reported in the dynamic metadata of the products TBC, upon Service Desk Manager decision.",,,,1,,
The incident has to be reported to the Top Level Service Desk through the SL TAC Service Desk since it impacts the products available for the users.,,1,,1,,
This error can be corrected by a new acquisition of the input flow that was initially corrupted (not detected at the acquisition level but at the step of the input checks).,,1,,1,,
"It may also be reported in the dynamic metadata of the products TBC, upon Service Manager decision.",,,,1,,
"If the anomaly can be corrected in the SL TAC, the production chain is run again (the Use Cases which are impacted).",,,1,1,,
"If needed, the Support Operator reports the anomaly to the Service Manager.",,,1,1,,
"The KPI are available on a daily basis, for NRT products only in V0 and V1.",,,,1,,
"The product is distributed, even if the metadata are not updated.",,,1,,,
"If the FTP server fails, an incident has to be reported to the SL TAC Service Manager.",,,1,1,,
"Once it is repaired, the products are available to the users but with delayed time.",,,0,1,,
"The requests may be addressed via different communication means (for example through a form), and processed by a dedicated service (Service Desk, at top level) and are cascaded to the SL TAC Service Desk in case of requested information about SL TAC.",,1,,1,,
The SL-TAC system shall prevent modification without authorization of any data.,,,,1,,
The SL-TAC system shall prevent any conflict between concurrent operator requests.,,,,1,,
"The SL-TAC system shall be designed to minimize the risk of central failure and to create, as many workaround solutions as possible if sub systems are unavailable.",,,1,1,,
"In both cases, the intervention must be discussed and controlled by system and scientific experts.",,1,,1,,
There is not a one-to-one correspondence between the user stories and the “steps” of the cookbook because some steps were too complex to fit into a single coherent user story.,,1,,,,
"Because resources available to the DESSIN project do not allow for implementation of all of the user stories described in the document, it is also necessary to prioritize.",,1,,1,,
Must: Stories labeled as “must” are stories that must be included in the Final solution.,,1,,1,,
All stories labeled as “must” will be implemented in the final version of the software tool (D23.2).,,1,,1,,
Should: Stories labeled as “should” are stories that should be included if possible.,,1,,1,,
"These stories are not essential for fulfilling the purpose of the software; however, not including them may force users to undertake time-consuming work-arounds.",,,,1,,
All stories labeled as “should” will be implemented in the software tool if resources are available after implementation of the stories labeled as “must”.,,,1,1,,
