Sentence,jfr,jannik,MaxK,student1,student2,arjen
"These could include third-party or commercial components, issues around the development or operating environment, and constraints.",0,0,,,,
Requirement: External interface requirements should be defined.,0,0,,,,
All interface requirements should be specified and defined.,0,0,,,,
"External interface requirements include user interfaces, hardware interfaces, software interfaces, and communication interfaces.",0,0,,,,
"User interface requirements such as sample screens, and GUI standards are the logical characteristics of each interface between the platform and the users.",0,0,,,,
The logical and physical characteristics of each interface between the platform and the hardware components should be defined.,0,0,,,,
Hardware components include the supported device types.,0,0,,,,
"Requirements of the hardware interfaces contain required data and control interactions between platform and the hardware, and the communication protocols to be used.",0,0,,,,
The connections between the platform and the other used software components should be described.,0,0,,,,
"The used software components include databases, operating systems, tools, libraries, and commercial components.",0,0,,,,
Name and the versions should be identified in the requirement document.,0,0,,,,
The requirements associated with any communications functions required by the INSIST Platform should be described.,,1,,,,
"These communication functions include web browser, network server communications protocols, and so on.",0,0,,,,
"The communication standards (such as ftp, http) that will be used should be identified.",0,0,,,,
The initial capacity requirements should be specified.,0,0,,,,
The initial capacity requirements of the INSIST Platform should be specified.,0,0,,,,
"The initial estimation will be established using current test data amounts, planned number of users, and estimated number of transactions.",0,0,,,,
"The highest and lowest numbers of the transactions, and processing frequency expected usage will be estimated.",0,0,,,,
These will be used for capacity planning for storage and memory requirements for INSIST Platform.,0,0,,,,
Two different main user types are defined in INSIST platform.,0,0,,,,
Any kind of user type can be chose when setting up your users in the INSIST system.,1,1,,,,
"A system user is a person who interacts with the INSIST system, through an interface to define the behaviour of the system and how the end users would interact with the system.",0,0,,,,
A maintenance user who has the role of Administrator can access the maintenance console of the INSIST project.,0,1,,,,
"A maintenance user can develop applications on th INSIST platform, create / update the database and test the system.",0,0,,,,
"A database manager performs the management functionalities, such as creation and maintenance of the database.",0,0,,,,
"A database manager has also abilities to back up and restore, attach and detach, create and clone the database.",0,0,,,,
A developer can develop new applications or services for the INSIST platform.,0,0,,,,
A test user can run the test scenarios on the INSIST platform.,0,0,,,,
A data analysis user can access to the INSIST platform to analyze platform data and obtain results.,0,0,,,,
System admin user can access to all areas of the INSIST platform.,0,0,,,,
B2B users use INSIST Platform for their production and/or service process.,0,0,,,,
They need INSIST Platform's functionalities for their operational reasons.,0,0,,,,
The overall volume of B2B user's transactions is much higher than the volume of B2C user's transactions.,0,0,,,,
B2C users in INSIST Platform are all road users such as pedestrians and drivers.,0,0,,,,
A list of abbreviations used in this document is presented below.,0,0,,,,
"This chapter is an informative introductory element that gives certain information or commentaries about the purpose of the requirement specification (e.g. that the requirement specification describes services, requirements, inspection and testing conditions that the product to be developed has to fulfil).",0,0,,,,
"The foreword must not contain any technical or functional requirements, images or tables.",0,0,,,,
Structure: level 1 and level 2 of the VDA component requirement specification structure have to be kept and must not be changed.,0,0,,,,
"Expansion of the structure: if supplements are necessary in the implementation of the VDA structure on level 1, in each case these are to be added to the last chapter with content of Module I or Module II (see Module I, chapter 12 and Module II chapter 7).",1,1,,,,
"Expansions on level 2 of the VDA structure are to be placed at the end of a respective sub-chapter structure (see e.g. Module I, chapter 2.6).",0,0,,,,
"Headlines that are not used may not be deleted on levels 1 and 2 of the Modules I and II, in order to guarantee the transparency and clarity of the component requirement specification contents.",,1,,,,
When referencing an external document it has to be entered here.,1,1,,,,
Contents on level 3 are to be preferentially used and have the nature of a recommendation.,0,0,,,,
"If chapters from level 3 are not used, these may be deleted or renamed.",1,1,,,,
It consists of universal requirements for the component requirement specification (Module I) and components (Module II).,0,0,,,,
"In this chapter, roughly describe the component and/or the service scope to be developed.",0,0,,,,
"This chapter provides information about the rough objective of the product to be developed and/or delivered (e.g. clear improvements in regard to image, market leadership, expected costs, consumption, efficiency, pollutant emissions, etc).",0,0,,,,
"In this chapter the component-specific details are to be given about product line, target markets, fields and purpose of application to which the component is to be assigned and for which it is to be developed.",0,0,,,,
"Furthermore, stipulations about variant management (at the contractor’s) and about a targeted blocking of components, parts or product lines are to be made.",0,0,,,,
"In addition, specific features and regulations (internal and external) for various target markets should be addressed if possible.",1,1,,,,
"Additionally, further requirements on the data security are to be formulated here if they have not already been defined in the chapter “Product Data Management” (Module I).",1,1,,,,
"In this chapter the development and delivery scope is to be described, e. all services that are connected to the delivery of the component (including prototypes).",0,0,,,,
"This also includes the proof of certification, auditing, etc., that are necessary at the time of the quotation at the latest.",0,0,,,,
"Furthermore, a reference to the performance requirement is to be stated here, if this is necessary.",1,1,,,,
"The requirements on the properties, condition and durability of the components are to be formulated in this chapter.",0,0,,,,
A component-specific development and testing schedule that deviates from the project master schedule (e.g. for long-running parts) is to be individually stipulated here.,0,0,,,,
"If available, reference is to be made to a schedule with project-wide validity, in order to avoid redundancies between the individual CRS modules (cross-component deadlines are determined in CRS Module I).",1,1,,,,
"The participants, the contents and the possible escalation paths for certain milestones over the course of the project are to be determined here (reference is to be made to existing standards in the CRS Module I where possible).",0,0,,,,
"Furthermore, component-specific “main milestones”, assurance levels descriptions) have to be defined in this chapter.",0,0,,,,
"Customer requirements on the contractor’s internal reviews (e.g. participation possibility, result documentation) have to be determined for different types of reviews (design, design engineering, validation, crash, etc).",0,0,,,,
"The type, number, date and participants (function) of reviews (e.g. requirement review, design review, quality gates, project management reviews, and additional development-accompanying reviews) are to be determined here.",0,0,,,,
"Definition of prototype categories and pieces regarding the properties and condition at milestones, the deadlines and the number of individual pieces.",0,0,,,,
"Reference is to be made to existing standards, if applicable, when defining prototype statuses (the generally valid definitions should be listed in CRS Module I if they are relevant to the contractor).",1,1,,,,
In this chapter the quantities of the individual prototype statuses are to be agreed on with the contractor.,0,0,,,,
The inspections that are to be carried out and the acceptance and release criteria for the various prototype statuses and first samples are to be defined here.,,1,,,,
"For the proof of compliance to legal requirements, tests in consultation with the customer’s responsible department and, if necessary, in the presence of the technical monitoring service are to be carried out and documented.",1,1,,,,
"Here the type approvals and certifications to be carried out for the vehicle are to be defined that also have an effect on the development and release of the individual components (content, terms, VDA standards, DIN standards, etc).",0,0,,,,
"If available, information about the milestones within the certification of the component and the vehicle has to be given here.",1,1,,,,
"In this chapter, requirements for quality and reliability are to be described that go beyond the legally binding as well as the general requirements in CRS Module I (e.g. early fault detection system).",0,0,,,,
"In this chapter, requirements are to be formulated as to how the con- tractor or its sub-supplier is to conduct risk management.",0,0,,,,
"A differentiated determination of the responsibilities between customer, contractor or sub-supplier is important.",0,0,,,,
"Furthermore, component-specific details about FMEA or FTA (e.g. type [process, product] or design) as well as the tests to be conducted and deadlines are to be given.",0,0,,,,
In this chapter the evaluations for relevant parts (risk components) that are to be conducted in the framework of a preventive quality concept are to be determined.,0,0,,,,
"In the course of a CPM process, all parts of the E/E components are to be identified in this chapter whose risks regarding insufficient automotive suitability according to the above evaluation is classified as “to be critically observed”.",0,1,,,,
"In this chapter, agreements for the validation of the software quality are made.",0,0,,,,
The requirements on the SW quality management are to be defined.,0,0,,,,
"If the given content structure does not suffice to assign all requirements on level 2 to the superordinated subject on level 1, the requirements can be assigned to this chapter.",1,1,,,,
"If this chapter is not needed, you should delete it!",1,1,,,,
The responsibilities and escalation paths in the project are to be deter- mined in this chapter.,0,0,,,,
"The component-specific requirements have to define the cooperation on various aggregation levels (design enginee- ring, system integration, diagnostics, construction of test vehicles, test drives – further detailing would be conceivable, but should not result in any redundancies to the other requirements and information [e.g. in testing]).",0,0,,,,
"A list of contact persons at the customer (and at the contractor, if known) has to be added in order to complete the information.",0,1,,,,
"Supplementary requirements regarding the distribution and fulfilment of tasks are also to be defined in this chapter (e.g. resident engineers, capacity requirements, qualification profiles of the project members, communication concept, and customer cooperation obligations in testing).",0,0,,,,
The requirements on the conformity of the component and the pre- cautions taken by the contractor for the safeguarding of the conformity are to be requested here.,0,0,,,,
In this chapter the component and its environment (component environment) is to be described briefly and in an overview manner.,0,0,,,,
This facilitates a quick overview of the function of the component and how it communicates with other components.,0,0,,,,
In this chapter the component is to be described in connection to the relevant physical interfaces as well as to the affected components during development and/or production.,0,0,,,,
"Relevant requirements in regard to mounting, distances and collision, as well as permitted or preferred fastening systems, are also to be described.",0,0,,,,
A system circuit diagram that shows the component of this requirement specification in the intended environment is to be added here.,0,1,,,,
"Clear names and abbreviations, as well as the part number of the com- ponent are to be given here.",0,0,,,,
The described basic and partial functions of the component are to be illustrated here graphically (e.g. as function block diagram or principle depiction).,0,0,,,,
The requirements on the component regarding possible faulty operation are to be defined here.,0,0,,,,
The requirements for protective timeout as well as regarding targeted misuse of the component are to be described.,0,0,,,,
The functional specifications for ensuring emergency operation are to be described here.,0,0,,,,
"All requirements concerning operation of the component (e.g. switching, pushing, pulling, turning, or multifunction assignment of switches and push buttons) are to be established in this chapter.",0,0,,,,
"Although the operating concept for the component to be developed is the main focus in this chapter, the relevant requirements or boundary conditions of possible superordinated or affected systems also have to be addressed (where applicable with a reference to the system description).",0,0,,,,
"Possible requirements on the displays, voice entries and responses, operation philosophy, etc.",0,0,,,,
"Furthermore, the MMI concept for output, reset or confirmation of fault states is to be specified, if applicable.",1,1,,,,
Please note that there could be cross-sections to the MMI requirement specification.,0,0,,,,
"Describe the service and/or application functions of the component (e.g. emergency call, DynAPS) here.",0,0,,,,
The diagnostics requirements on the component and the individual functions are to be defined here.,0,0,,,,
A control unit concept determines the individual systems and blocks of the component that are – in terms of software and hardware – necessary for the implementation of the complete function.,0,0,,,,
"Describe the design of the component, taking into consideration the requirements for computer and storage selection, number of plug positions, plugs, operating system, and design principles.",0,0,,,,
Pay attention to the legal regulations and the customer’s system requirements.,0,0,,,,
"The signal characteristics of all electrical connections (input and output signals, as well as bus signals) are to be described here with all signal information, load behaviour, and conditions under which the signals are positively identified or made available.",0,0,,,,
"The signal characteristics, signal types (analogue or digital), modulation, signal amplitude, frequency range, protocol, bus, signal coding etc.",0,0,,,,
"If a diagnostic interface in the component is intended, the requirements for this (if available) are to be taken from the diagnostics specifications implementation regulations.",1,1,,,,
"If this component is to be programmed in series production compliant to the customer, this requirement is to be recorded here (e.g. flashing or EEprom).",1,1,,,,
"The physical specifications of the individual pins are to be specified here for each individual plug of the component (current load, cross-section, etc).",0,0,,,,
"If there are customer-specified increased requirements on components whose power supplies are connected to the battery (terminal 30) even when the car is parked, they should be specified here.",,1,,,,
Establish the general characteristics of the component here.,0,0,,,,
"Specify in a table the physical, component-specific variables such as the path of a travel sensor.",0,0,,,,
"The mechanical safety requirements on protection systems, operating and environmental safety, as well as the requirements of the active and passive safety on the component are to be described in this chapter.",0,0,,,,
"If possible, additional requirements that directly or indirectly affect the protection of persons (e.g. flammability, mechanical safeguarding of emergency operation, redundancy systems) are also to be defined here.",1,1,,,,
"The safety requirements determined by the customer on the complete vehicle or on the component in connection to the complete vehicle are to be determined here (e.g. edge protection, anti-theft protection, and fire prevention).",0,0,,,,
Describe relevant future scenarios that could have an effect on the development or production of the component.,0,0,,,,
"These developments should be identified in terms of functional extensions, (construction) variants, design options, alternative production processes, environmental aspects and other plans.",0,0,,,,
"If necessary, the installation location is to be described more precisely (possibly with an illustration or sketch).",1,1,,,,
"If many installation locations are scheduled, all installation locations are to be described.",1,1,,,,
"If the component is exposed to direct sunlight, this should be indicated.",1,1,,,,
"If additional environmental strains occur at the intended installation location, for example through strong heat sources, vibration sources (motors) or similar, these strains are to be described.",1,1,,,,
"Component-specific requirements on the installability, handling in the production process, permitted adjustment work, tensioning and securing concepts, etc.",0,0,,,,
"If possible, details or requirements on the contractor concerning the component-specific start-up screening are to be passed on already.",1,1,,,,
"The customer is to define the stipulations concerning geometry, dimen- sion, space requirements and packaging in this chapter.",0,0,,,,
"The permitted tolerances in the construction and joining process of the component, as well as the types of measurement, definition of source locations, tolerance chains, etc.",0,0,,,,
"Define the requirements concerning component styling (e.g. flush fit, gap widths, and radiuses).",0,0,,,,
"In addition to the targeted quality impression of the component, the customer is to also define concrete requirements concerning surface feel of a component (e.g. pressure point or lift on the switches).",0,0,,,,
"Furthermore, the requirements regarding the surface characteristics as well as regarding protection (e.g. anodised, or phosphatised) as well as concerning the characteristics of the component (e.g. roughness and aerodynamics) are also to be determined here.",0,0,,,,
"In principle, the acoustic requirements that the component has to fulfil are to be established here.",0,1,,,,
In this connection a differentiation of the requirements according to the different operating conditions of the com- ponent and the driving conditions of the vehicle has to be made (e.g. permitted threshold values in different driving situations).,0,0,,,,
"Specifically, the development or absorption of noise (e.g. door slamming noise, movement noises) as well as the avoidance of defined frequency ranges and types of noises (e.g. rattling) are to be determined by the requirements.",0,0,,,,
A precise as possible assignment of limit values or tole- rance ranges is to be strived for.,0,0,,,,
Information about required handling of the component is to be given in this chapter (e.g. operability of lids).,0,0,,,,
"The technically permitted or stipulated materials are to be described in this chapter (e.g. permitted processing conditions of the material, fogging, permitted alternative materials, auxiliary materials, permitted or prohibited material pairings).",0,0,,,,
"Determine the requirements concerning the resistance to contamination here (e.g. types of possible contamination, emissions, reagents, measures to avoid contamination, permitted effects of contamination).",0,0,,,,
"As far as possible, measures for the avoidance of unwanted effects are also to be established (e.g. screening).",0,0,,,,
The corrosion protection requirements are to define differentiated requirements concerning the resistance of the component under specified environmental conditions.,0,0,,,,
"In this connection, the material- specific differentiation of the requirements is to be made.",0,0,,,,
"If possible or available, the specific stipulations of protection classes that the component has to fulfil in terms of certain characteristics (e.g. contact and dust protection, splash water, surface, and IP classes) are to take place.",1,1,,,,
"Determination of material prohibitions for environmental and health reasons (e.g. VDA 232-101 “List of Notifiable Substances in Automotive Production”), compatibility of the materials, requirements on the reduc- tion of the material diversity (e.g. VDA 232-101 “List of Notifiable Substances”).",0,0,,,,
Component-specific specifications for the recycling and dismantling scheme are to be given in this chapter.,0,0,,,,
A component-specific recycling rate is to be defined in this chapter.,0,0,,,,
"Furthermore, the calculation regulation used to determine this recycling rate is to be stated (e.g. according to ISO 22628).",0,0,,,,
The way in which the lifecycle analysis for the component is to be determined is to be established in this chapter.,0,0,,,,
Information concerning the boundary conditions for the creation of a lifecycle analysis is to be given through the type of analysis (e.g. lifecycle inventory analysis or lifecycle impact analysis) and description of the analysis scope (e.g. gate to gate).,0,0,,,,
"Consideration of all production and auxiliary materials that are used during product manufacture, consideration of the material manufacture (e.g. aluminium).",0,0,,,,
"Define the direct load requirements on the component (maximum forces, alternating load, forces, weight-dependent loads, predetermined breaking points, acceleration) and also the indirect external mechanical requirements (effects on fastening elements, etc).",0,0,,,,
"Define the requirements on the vibration behaviour of the component (e.g. resonance ranges while driving or in different driving conditions, natural frequencies of the component).",0,0,,,,
"The requirements on the stiffness or torsion stiffness, as well as the cushioning characteristics of the component are to be described differentiating according to static and dynamic stiffness.",,1,,,,
The customer is to describe the deformation requirements (e.g. permitted bending of a component in various load situations).,0,0,,,,
The crash requirements on the component have to be detailed here separately.,0,0,,,,
"Establish the pressure requirements on the component here (e.g. pressures in various operating conditions, maximum pressures, low pressure).",0,0,,,,
All general and vehicle-specific electrical requirements are to be described here.,0,0,,,,
"Electrical requirements on the supply voltage fluctuations, electrical surge, system compatibility and electrical operational stability are to be recorded as the minimum specifications.",,1,,,,
The requirements on the component concerning the electrostatic discharge are to be defined here.,0,0,,,,
"The thermal requirements on the component are to be defined here (e.g. heat resistance, operating temperature, storage temperature).",0,0,,,,
"If country and/or engine-specific variants of the component are planned, these should be differentiated accordingly.",1,1,,,,
"The component-specific service requirements (e.g. service, part handling in the service garage, installability, availability of replacement parts) are to be established in this chapter.",0,0,,,,
"Furthermore, the details concerning the repair and replacement parts schemes that are to be taken into account in the development of the component (e.g. demanded to be maintenance- free or compliance to defined service intervals, service and repair times) are to be defined here.",0,0,,,,
"Furthermore, agreements for the processing of the component are to be made in this chapter.",0,0,,,,
Requirements for a technical and cost-effective processing of the component for the reuse as a replacement part are to be described here.,0,0,,,,
